E,eta_h,d_amp,q_amp,h_amp,return_time_mean,return_time_cv,crossing_ratio,m_bar,capbind_frac,phi_bar,mid_frac_proxy
1.4000000000,0.0039000000,0.9913302781,0.8200008295,0.1101164424,229.7114840796,0.0004402058,1.0000000000,0.2977521575,0.0076885472,0.4266220642,0.0004888672
1.4000000000,0.0053500000,0.9913302863,0.8200010895,0.1115162872,170.1768389606,0.0012786663,1.0000000000,0.3044170847,0.0108439625,0.4286653561,0.0007999644
1.4000000000,0.0068000000,0.9913302938,0.8200010090,0.1130589660,136.3205605436,0.0021688335,1.0000000000,0.3042957799,0.0132438558,0.4282278193,0.0011110617
1.4000000000,0.0082500000,0.9913303006,0.8200005890,0.1137846239,112.8416075797,0.0022747808,1.0000000000,0.3049055936,0.0160881739,0.4284352388,0.0006666370
1.4000000000,0.0097000000,0.9913303069,0.8199998209,0.1145358664,96.9254697414,0.0020074113,1.0000000000,0.3023261640,0.0188880494,0.4277616896,0.0015110440
1.4000000000,0.0111500000,0.9913303129,0.8199986643,0.1148090393,85.0061504046,0.0001194514,1.0000000000,0.3030209086,0.0212435003,0.4277922808,0.0010221768
1.4000000000,0.0126000000,0.9913303185,0.8199970062,0.1165564376,76.5309800746,0.0014477356,1.0000000000,0.3024215259,0.0237322786,0.4274418356,0.0014666015
1.4000000000,0.0140500000,0.9913303239,0.8199944682,0.1171690004,69.3062984834,0.0010252136,1.0000000000,0.3010898886,0.0259988445,0.4269806355,0.0016888138
1.4000000000,0.0155000000,0.9913303290,0.8199906983,0.1184061271,62.9987442831,0.0075809504,1.0000000000,0.2992182515,0.0288431625,0.4265272343,0.0020443536
1.4000000000,0.0169500000,0.9913303339,0.8199852538,0.1196528516,58.2949232642,0.0057999972,1.0000000000,0.3012673384,0.0308430736,0.4268401046,0.0020887961
1.4000000000,0.0184000000,0.9913303386,0.8199761212,0.1190284272,53.8364831757,0.0037756025,1.0000000000,0.2974907900,0.0331985245,0.4258494773,0.0022665659
1.4000000000,0.0198500000,0.9913303432,0.8199661424,0.1207666114,50.0857179170,0.0129468654,1.0000000000,0.2993928719,0.0360872850,0.4264710144,0.0021332385
1.4000000000,0.0213000000,0.9913303477,0.8199493924,0.1200265395,46.9745660165,0.0046669287,1.0000000000,0.2989961448,0.0384427359,0.4263196864,0.0022221235
1.4000000000,0.0227500000,0.9913303522,0.8199293697,0.1202140868,44.4223678147,0.0007743265,1.0000000000,0.2976768745,0.0407981867,0.4259230282,0.0023554509
1.4000000000,0.0242000000,0.9913303567,0.8199063421,0.1210211023,41.9064550817,0.0033927306,1.0000000000,0.2963939126,0.0430647527,0.4255134510,0.0029332030
1.4000000000,0.0256500000,0.9913303614,0.8198731599,0.1207435375,39.6721908523,0.0016257832,1.0000000000,0.2960297432,0.0451979912,0.4253728919,0.0029776454
1.4000000000,0.0271000000,0.9913303664,0.8198428172,0.1224064395,37.7876890203,0.0029027462,1.0000000000,0.2972368370,0.0475978845,0.4256304674,0.0026221057
1.4000000000,0.0285500000,0.9913303720,0.8198077133,0.1239765294,36.0895689673,0.0088298464,1.0000000000,0.2957072068,0.0495977957,0.4251447240,0.0027998756
1.4000000000,0.0300000000,0.9913303785,0.8197481175,0.1233315239,34.2152395599,0.0065014073,1.0000000000,0.2957039047,0.0527976534,0.4254639949,0.0027998756
1.4266666667,0.0010000000,0.9913287363,0.8268270679,0.1106977897,982.4837239580,0.0000689244,1.0000000000,0.2384712996,0.0016443714,0.3988876410,0.0001777699
1.4266666667,0.0024500000,0.9913287532,0.8268278537,0.0968611427,338.3227515212,0.0018512905,1.0000000000,0.2742381121,0.0051997689,0.4117886072,0.0005333096
1.4266666667,0.0039000000,0.9913287669,0.8268283353,0.0985298350,218.0193390481,0.0001708658,1.0000000000,0.2797558480,0.0085773966,0.4136606973,0.0004444247
1.4266666667,0.0053500000,0.9913287788,0.8268285130,0.0996718708,161.3464299961,0.0003644850,1.0000000000,0.2778422227,0.0108884050,0.4126315284,0.0006666370
1.4266666667,0.0068000000,0.9913287896,0.8268283856,0.1005175578,128.3856765730,0.0001627269,1.0000000000,0.2766778449,0.0141771477,0.4123487932,0.0009332919
1.4266666667,0.0082500000,0.9913287996,0.8268279387,0.1015409272,107.1017697859,0.0009173181,1.0000000000,0.2762058462,0.0170214657,0.4121313848,0.0011110617
1.4266666667,0.0097000000,0.9913288089,0.8268270573,0.1026519101,92.5249193551,0.0007341353,1.0000000000,0.2739045972,0.0198213413,0.4114268512,0.0011999467
1.4266666667,0.0111500000,0.9913288177,0.8268252056,0.1029403740,80.8715365847,0.0008220325,1.0000000000,0.2740862091,0.0226212168,0.4115071859,0.0013777165
1.4266666667,0.0126000000,0.9913288261,0.8268216787,0.1040314293,72.3180363792,0.0018896622,1.0000000000,0.2735618362,0.0249766677,0.4110950913,0.0014221590
1.4266666667,0.0140500000,0.9913288340,0.8268154137,0.1047013061,65.2970590815,0.0021965441,1.0000000000,0.2740692736,0.0277321008,0.4113141478,0.0019554686
1.4266666667,0.0155000000,0.9913288417,0.8268067873,0.1062270210,60.1616170088,0.0038852588,1.0000000000,0.2721820617,0.0299542243,0.4104725367,0.0019110262
1.4266666667,0.0169500000,0.9913288492,0.8267962954,0.1084757221,55.9724853934,0.0074633704,1.0000000000,0.2735639301,0.0327096573,0.4108848167,0.0023110084
1.4266666667,0.0184000000,0.9913288565,0.8267778501,0.1085105879,51.3524774981,0.0097184345,1.0000000000,0.2728058158,0.0354206480,0.4107837659,0.0019554686
1.4266666667,0.0198500000,0.9913288638,0.8267537404,0.1088316777,48.6329599100,0.0070029270,1.0000000000,0.2691428861,0.0370205769,0.4094076537,0.0021332385
1.4266666667,0.0213000000,0.9913288715,0.8267255488,0.1096990311,45.1962544554,0.0094661736,1.0000000000,0.2703153845,0.0402648771,0.4099640553,0.0020443536
1.4266666667,0.0227500000,0.9913288797,0.8266859476,0.1098766532,42.5480218418,0.0088071823,1.0000000000,0.2688124667,0.0425758855,0.4093557207,0.0027109906
1.4266666667,0.0242000000,0.9913288885,0.8266370258,0.1102612795,40.4506143673,0.0077447794,1.0000000000,0.2701613436,0.0445757966,0.4096790691,0.0027998756
1.4266666667,0.0256500000,0.9913288987,0.8265662603,0.1096123383,38.1965656285,0.0055740940,1.0000000000,0.2699332344,0.0476867695,0.4096716963,0.0029332030
1.4266666667,0.0271000000,0.9913289091,0.8265143518,0.1119896528,36.6113824705,0.0094020321,1.0000000000,0.2686928610,0.0495089107,0.4092938954,0.0031554153
1.4266666667,0.0285500000,0.9913289237,0.8264194597,0.1120468990,34.8546762166,0.0072697456,1.0000000000,0.2680875436,0.0518643616,0.4091911314,0.0037776099
1.4266666667,0.0300000000,0.9913289399,0.8262829140,0.1110133316,33.1320676403,0.0048380264,1.0000000000,0.2690210931,0.0549753344,0.4095191355,0.0036887249
1.4533333333,0.0010000000,0.9913267926,0.8337403602,0.0993850997,953.1997711516,0.0067153453,1.0000000000,0.2237813296,0.0020443536,0.3871225021,0.0001333274
1.4533333333,0.0024500000,0.9913268164,0.8337409881,0.0851503795,319.9747558563,0.0010124593,1.0000000000,0.2556867426,0.0055997511,0.3986299825,0.0003999822
1.4533333333,0.0039000000,0.9913268356,0.8337413418,0.0870638588,206.6382788123,0.0018092684,1.0000000000,0.2531861202,0.0090662637,0.3977347384,0.0006221946
1.4533333333,0.0053500000,0.9913268526,0.8337414223,0.0880012328,153.0532206329,0.0009338891,1.0000000000,0.2468986987,0.0117772543,0.3956049205,0.0007110795
1.4533333333,0.0068000000,0.9913268680,0.8337411965,0.0889688612,122.3165531110,0.0005832576,1.0000000000,0.2504832262,0.0150215546,0.3967146224,0.0009332919
1.4533333333,0.0082500000,0.9913268824,0.8337403058,0.0901811979,102.1591706194,0.0027189976,1.0000000000,0.2481824761,0.0179547576,0.3959146626,0.0011999467
1.4533333333,0.0097000000,0.9913268959,0.8337376299,0.0912507024,88.4159169251,0.0030546533,1.0000000000,0.2459110460,0.0207101907,0.3951185518,0.0014221590
1.4533333333,0.0111500000,0.9913269086,0.8337315757,0.0918933644,77.3543391375,0.0026289915,1.0000000000,0.2464114670,0.0236878361,0.3952639553,0.0014666015
1.4533333333,0.0126000000,0.9913269208,0.8337210893,0.0926545462,69.4907580311,0.0030450955,1.0000000000,0.2466319009,0.0264432692,0.3953190198,0.0017332563
